Bureau Number	Employer Name	Street Address	City	State	Zip Code	Insurer Name	LookupStatus
42	BAXTER AUTO						Not Found
270	MOORE TWININ						Not Found
637	MORRIS SHAND						Not Found
723	COTATI FOOD SERVICE (A CORP)	441 HOUSER ST	COTATI	CA	949313034	Markel Insurance Company	Found
723	DBA COTATI FOOD SERVICE	441 HOUSER ST	COTATI	CA	949313034	Markel Insurance Company	Found
1407	AV BATTERY M						Not Found
2718	DAVIDSON AND LICHT JEWELRY CO.	1205 BROADWAY PLZ	WALNUT CREEK	CA	945965112	Markel Insurance Company	Found
2997	SHOPPER'S CO						Not Found
3210	HIGHLANDS WATER COMPANY	14580 LAKESHORE DR	CLEAR LAKE	CA	95422	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY	14475 LAKESHORE DR	CLEARLAKE	CA	954228119	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY DBA	14580 LAKESHORE DR	CLEAR LAKE	CA	95422	State Compensation Insurance Fund	Found
3210	HIGHLANDS WATER COMPANY DBA	14475 LAKESHORE DR	CLEARLAKE	CA	954228119	State Compensation Insurance Fund	Found
3218	UNION HOTEL RESTAURANT (DBA)	280 MISSION BLVD	SANTA ROSA	CA	95409	ZNAT Insurance Company	Found
3218	UNION HOTEL, INC. (CORPORATION)	280 MISSION BLVD	SANTA ROSA	CA	95409	ZNAT Insurance Company	Found
3492	VINCENT ELEC						Not Found
3510	HERITAGE FOO						Not Found
4058	SOUTHWESTERN						Not Found
4095	C. MONDAVI &						Not Found
4389	VISALIA COUN						Not Found
4912	SIMON EQUIPM						Not Found
5016	BEARING ENGI						Not Found
5051	SOUTHLAND CR						Not Found
5207	PACIFIC SCHO						Not Found
5215	SANTA BARBAR						Not Found
5543	LITTLE DIVER						Not Found
5997	DBA INLAND C						Not Found
6149	ARC LONG BEA						Not Found
6193	UNITED THERA						Not Found
6598	NEAL FEAY CO						Not Found
6737	CHROMALLOY G						Not Found
7112	FARMERS COOP						Not Found
7409	NEXT STEP LE						Not Found
7422	SIGNATURE ES						Not Found
7874	ORANGE VALE						Not Found
7972	IN-N-OUT BUR						Not Found
8006	VALLEY WATER						Not Found
8451	VILLANOVA PR						Not Found
9294	CLARENCE BOS						Not Found
9367	CONSONUS PHA						Not Found
9566	ASPEN RESIDE						Not Found
9835	CHICCA BROS/						Not Found
10053	FLOTRON						Not Found
11012	CALIFORNIA-P						Not Found
11415	EDW APFFEL C						Not Found
12818	SAN JOAQUIN						Not Found
12895	SUNSET VIEW						Not Found
13032	REDWOOD EMPI						Not Found
13067	TURLOCK GOLF						Not Found
13214	SAINT HELENA						Not Found
13311	HUBER FARMS,						Not Found
13590	WESTRIDGE SC						Not Found
13635	SAN DIEGO YA						Not Found
14087	WEST COAST C						Not Found
14427	MERCY HOUSIN						Not Found
14637	SAINTE CLAIR						Not Found
14887	GENERAL PROD						Not Found
15022	ABILITYPATH						Not Found
15028	WILLIAM DUFF						Not Found
15413	GEMOLOGICAL						Not Found
15421	8 NET, INC.						Not Found
15502	GALLI PRODUC						Not Found
15589	DANISH ENVIR						Not Found
15833	SIERRA HILLS						Not Found
15844	ALTA WAREHOU						Not Found
15927	OVERLAND STO						Not Found
16141	BOHNHOFF LUM						Not Found
16769	MASTER PLUMB						Not Found
16904	M. O. DION A						Not Found
17373	COMPASS FAMI						Not Found
17447	PORTUGUESE O						Not Found
18005	CONGER MOSS						Not Found
18567	VILLA GARDEN						Not Found
18585	KETT ENGINEE						Not Found
19053	KISHI BROTHE						Not Found
19162	DBA PACIFIC						Not Found
19208	DEL VALLE KA						Not Found
19351	GOLDEN GATE						Not Found
19421	THE ANSEL AD						Not Found
19621	CITY OF ISLE						Not Found
19691	BREUER CONSU						Not Found
19896	LESTER NEUFE						Not Found
20021	BANNER PUMP						Not Found
21158	CENTRAL CALI						Not Found
21517	SENIOR CANYO						Not Found
21565	GOLDEN GATE						Not Found
22939	THE BLIND CH						Not Found
23005	REDLANDS DAY						Not Found
23392	CAPRICORN IN						Not Found
23394	LODI TENT &						Not Found
24155	THE ORINDA P						Not Found
24617	MINEGAR LASE						Not Found
24892	IVANHOE IRRI						Not Found
24941	STUART J. SM						Not Found
25121	LLEWELLYN SU						Not Found
25331	INTERNATIONA						Not Found
25532	CRESCENT SUR						Not Found
25756	SPIRIT HALLO						Not Found
26064	STORM VENTUR						Not Found
26265	BROADWAY KNI						Not Found
26833	SULLIVAN'S T						Not Found
27141	GRAEAGLE LAN						Not Found
27184	LITTON ENGIN						Not Found
27311	CHILDREN'S H						Not Found
27353	CALIFORNIA C						Not Found
27383	DELTA FARMS						Not Found
27817	US GAMES DIS						Not Found
27825	ITALIAN CEME						Not Found
27888	YMCA OF SAN						Not Found
28309	CLAREMONT UN						Not Found
28410	PROGRESSIVE						Not Found
28726	A TOUCH OF H						Not Found
28780	YOUNG MENS C						Not Found
28907	ZION LUTHERA						Not Found
28935	NORTH COAST						Not Found
29073	DAVIES APPLI						Not Found
29207	CAPITAL GUAR						Not Found
29368	KECK GRADUAT						Not Found
30014	REVEL ENVIRO						Not Found
30492	SAN GABRIEL						Not Found
30788	MONTGOMERY H						Not Found
30857	LAGUNA IRRIG						Not Found
30958	RELIABLE PAR						Not Found
31059	PACIFIC SERV						Not Found
31318	SAN PEDRO HA						Not Found
